customer_id,avg_complaints_opened,avg_transaction_count,avg_product_usage_score,salary_deposit_flag,marketing_consent,past_campaign_response,cross_sell_score,cross_sell_suitability,suitability_reasons,final_action,churn_level_lookup
C00001,0.25,38.33333333,69.71666667,TRUE,TRUE,FALSE,2,Medium Cross-Sell Suitability,"High product usage, Salary deposit relationship",Medium Cross-Sell Suitability,Not High-Value
C00004,0.08333333333,48.16666667,68.09166667,TRUE,FALSE,FALSE,4,Not Eligible - No Consent,No marketing consent,Not Eligible,Lower Churn Risk
C00005,0.3333333333,37.75,56.04166667,TRUE,TRUE,FALSE,2,Medium Cross-Sell Suitability,"High product usage, Salary deposit relationship",Medium Cross-Sell Suitability,Not High-Value
C00006,0,36.25,78.05,TRUE,FALSE,FALSE,3,Not Eligible - No Consent,No marketing consent,Not Eligible,Not High-Value
C00009,0.1666666667,61.91666667,88.14166667,TRUE,TRUE,FALSE,3,Medium Cross-Sell Suitability,"High transaction activity, High product usage, Salary deposit relationship",Medium Cross-Sell Suitability,Lower Churn Risk
C00011,0,45.75,75.21666667,TRUE,TRUE,FALSE,4,High Cross-Sell Suitability,"Low complaint activity, High transaction activity, High product usage, Salary deposit relationship",High Cross-Sell Suitability,Not High-Value
C00013,0.6666666667,47.58333333,61.575,TRUE,TRUE,FALSE,3,Medium Cross-Sell Suitability,"High transaction activity, High product usage, Salary deposit relationship",Medium Cross-Sell Suitability,Not High-Value
C00014,0.08333333333,25.5,53.98333333,FALSE,FALSE,FALSE,1,Not Eligible - No Consent,No marketing consent,Not Eligible,Not High-Value
C00016,0.1666666667,35.66666667,54.86666667,TRUE,TRUE,FALSE,1,Low Cross-Sell Suitability,Salary deposit relationship,Low Cross-Sell Suitability,Not High-Value
C00019,0,20.83333333,36.89166667,TRUE,TRUE,FALSE,2,Medium Cross-Sell Suitability,"Low complaint activity, Salary deposit relationship",Medium Cross-Sell Suitability,Medium Churn Risk
C00020,0.08333333333,48.75,65.89166667,TRUE,FALSE,FALSE,4,Not Eligible - No Consent,No marketing consent,Not Eligible,Not High-Value
C00021,0.1666666667,35,41.14166667,FALSE,FALSE,FALSE,0,Not Eligible - No Consent,No marketing consent,Not Eligible,Not High-Value
C00022,0.1666666667,52.91666667,69.84166667,TRUE,TRUE,FALSE,3,Medium Cross-Sell Suitability,"High transaction activity, High product usage, Salary deposit relationship",Medium Cross-Sell Suitability,Not High-Value
C00023,0,39.66666667,62.41666667,TRUE,FALSE,FALSE,3,Not Eligible - No Consent,No marketing consent,Not Eligible,Lower Churn Risk
C00025,0.3333333333,44.08333333,62,TRUE,TRUE,FALSE,3,Medium Cross-Sell Suitability,"High transaction activity, High product usage, Salary deposit relationship",Medium Cross-Sell Suitability,Not High-Value
C00026,0.08333333333,53.5,61.775,TRUE,TRUE,FALSE,4,High Cross-Sell Suitability,"Low complaint activity, High transaction activity, High product usage, Salary deposit relationship",High Cross-Sell Suitability,Not High-Value
C00027,0.08333333333,46.08333333,74.28333333,TRUE,TRUE,FALSE,4,High Cross-Sell Suitability,"Low complaint activity, High transaction activity, High product usage, Salary deposit relationship",High Cross-Sell Suitability,Not High-Value
C00030,0.25,33.58333333,53.34166667,TRUE,TRUE,FALSE,1,Low Cross-Sell Suitability,Salary deposit relationship,Low Cross-Sell Suitability,Not High-Value
C00032,0.3333333333,18.5,33.33333333,TRUE,TRUE,FALSE,1,Low Cross-Sell Suitability,Salary deposit relationship,Retention First,High Churn Risk
C00034,0.25,37,52.75,TRUE,TRUE,FALSE,1,Low Cross-Sell Suitability,Salary deposit relationship,Low Cross-Sell Suitability,Not High-Value
C00038,0,11,21.475,FALSE,FALSE,FALSE,1,Not Eligible - No Consent,No marketing consent,Not Eligible,Not High-Value
C00039,0.08333333333,38.83333333,56.73333333,TRUE,TRUE,FALSE,3,Medium Cross-Sell Suitability,"Low complaint activity, High product usage, Salary deposit relationship",Medium Cross-Sell Suitability,Medium Churn Risk
C00040,0.08333333333,21.08333333,23.4,TRUE,FALSE,FALSE,2,Not Eligible - No Consent,No marketing consent,Not Eligible,Not High-Value
C00041,0.08333333333,29.58333333,49.73333333,TRUE,TRUE,FALSE,2,Medium Cross-Sell Suitability,"Low complaint activity, Salary deposit relationship",Medium Cross-Sell Suitability,Not High-Value
C00043,0.1666666667,47.41666667,71.73333333,TRUE,TRUE,FALSE,3,Medium Cross-Sell Suitability,"High transaction activity, High product usage, Salary deposit relationship",Medium Cross-Sell Suitability,Not High-Value
C00045,1.166666667,45.5,55.93333333,TRUE,FALSE,FALSE,2,Not Eligible - No Consent,No marketing consent,Not Eligible,Not High-Value
C00047,0.8333333333,36.16666667,59.63333333,TRUE,TRUE,FALSE,2,Medium Cross-Sell Suitability,"High product usage, Salary deposit relationship",Medium Cross-Sell Suitability,Medium Churn Risk
C00048,0.1666666667,51.66666667,46.15,TRUE,TRUE,FALSE,2,Medium Cross-Sell Suitability,"High transaction activity, Salary deposit relationship",Medium Cross-Sell Suitability,Not High-Value
C00049,0.1666666667,42.41666667,62.79166667,TRUE,TRUE,FALSE,3,Medium Cross-Sell Suitability,"High transaction activity, High product usage, Salary deposit relationship",Medium Cross-Sell Suitability,Not High-Value
C00050,0.08333333333,53.66666667,44.8,TRUE,TRUE,FALSE,3,Medium Cross-Sell Suitability,"Low complaint activity, High transaction activity, Salary deposit relationship",Medium Cross-Sell Suitability,Not High-Value
C00051,0.3333333333,10.41666667,25.01666667,TRUE,TRUE,FALSE,1,Low Cross-Sell Suitability,Salary deposit relationship,Low Cross-Sell Suitability,Not High-Value
C00052,0.1666666667,43.58333333,52.89166667,TRUE,TRUE,FALSE,2,Medium Cross-Sell Suitability,"High transaction activity, Salary deposit relationship",Medium Cross-Sell Suitability,Not High-Value
C00054,0.1666666667,60.83333333,53.7,TRUE,FALSE,FALSE,2,Not Eligible - No Consent,No marketing consent,Not Eligible,Not High-Value
C00055,0,27.91666667,59.56666667,TRUE,TRUE,FALSE,3,Medium Cross-Sell Suitability,"Low complaint activity, High product usage, Salary deposit relationship",Medium Cross-Sell Suitability,Medium Churn Risk
C00057,0,35.83333333,50.65833333,FALSE,TRUE,FALSE,1,Low Cross-Sell Suitability,Low complaint activity,Retention First,High Churn Risk
C00058,1.166666667,47,74.75833333,TRUE,FALSE,FALSE,3,Not Eligible - No Consent,No marketing consent,Not Eligible,Lower Churn Risk
C00059,0.4166666667,14.58333333,30.69166667,TRUE,TRUE,FALSE,1,Low Cross-Sell Suitability,Salary deposit relationship,Retention First,High Churn Risk
C00061,0.08333333333,61.16666667,65.23333333,TRUE,TRUE,FALSE,4,High Cross-Sell Suitability,"Low complaint activity, High transaction activity, High product usage, Salary deposit relationship",High Cross-Sell Suitability,Not High-Value
