campaign_contact_id,customer_id,campaign_id,contact_date,campaign_objective,campaign_theme,offer_category,channel,message_variant,delivered_flag,opened_flag,clicked_flag,responded_flag,accepted_offer_flag,unsubscribe_flag,contact_cost,response_delay_days,marketing_consent_lookup,offer_response_check,customer_status_lookup,churn_date_lookup,campaign_timing_check,delivery_open_check,open_click_check,delivery_response_check,post_churn_campaign_flag,consent_issue_flag,offer_response_issue_flag,,
CC000001,C00001,CMP004,2025-11-08,Cross-sell,Product offer,Savings,Email,A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.04,,TRUE,Valid,Active,,Valid or active,Valid,Valid,Valid,FALSE,FALSE,FALSE,0,0
CC000002,C00001,CMP001,2025-08-19,Retention,Service recovery,Rewards,Email,A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.06,,TRUE,Valid,Active,,Valid or active,Valid,Valid,Valid,FALSE,FALSE,FALSE,0,0
CC000003,C00001,CMP005,2025-08-22,Engagement,Rewards,None,Email,B,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.05,,TRUE,Valid,Active,,Valid or active,Valid,Valid,Valid,FALSE,FALSE,FALSE,0,0
CC000004,C00001,CMP009,2025-05-13,Retention,Rewards,Personal loan,Email,A,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0.06,4,TRUE,Valid,Active,,Valid or active,Valid,Valid,Valid,FALSE,FALSE,FALSE,1,0
CC000005,C00001,CMP002,2025-01-18,Retention,Fee relief,Rewards,Call,B,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6.76,,TRUE,Valid,Active,,Valid or active,Valid,Valid,Valid,FALSE,FALSE,FALSE,0,0
CC000006,C00001,CMP001,2025-03-15,Retention,Product offer,Personal loan,Email,A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.05,,TRUE,Valid,Active,,Valid or active,Valid,Valid,Valid,FALSE,FALSE,FALSE,0,0
CC000007,C00001,CMP005,2025-11-10,Cross-sell,Product offer,Rewards,Email,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.05,,TRUE,Valid,Active,,Valid or active,Valid,Valid,Valid,FALSE,FALSE,FALSE,0,0
CC000008,C00002,CMP006,2025-10-21,Cross-sell,Product offer,Personal loan,Email,B,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.06,,TRUE,Valid,Churned,11/16/2025,Valid or active,Valid,Valid,Valid,FALSE,FALSE,FALSE,0,0
CC000009,C00002,CMP003,2025-03-20,Cross-sell,Product offer,Savings,Call,A,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,7.9,,TRUE,Valid,Churned,11/16/2025,Valid or active,Valid,Valid,Valid,FALSE,FALSE,FALSE,0,0
CC000010,C00002,CMP007,2025-08-19,Cross-sell,Product offer,Investment,Push,C,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.02,,TRUE,Valid,Churned,11/16/2025,Valid or active,Valid,Valid,Valid,FALSE,FALSE,FALSE,0,0
CC000011,C00002,CMP004,2025-08-01,Retention,Fee relief,None,SMS,C,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.18,,TRUE,Valid,Churned,11/16/2025,Valid or active,Valid,Valid,Valid,FALSE,FALSE,FALSE,0,0
CC000012,C00003,CMP012,2025-05-05,Cross-sell,Product offer,Savings,Push,C,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.02,,TRUE,Valid,Churned,11/4/2025,Valid or active,Valid,Valid,Valid,FALSE,FALSE,FALSE,0,0
CC000013,C00003,CMP008,2025-03-22,Cross-sell,Product offer,Rewards,Push,B,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.02,,TRUE,Valid,Churned,11/4/2025,Valid or active,Valid,Valid,Valid,FALSE,FALSE,FALSE,0,0
CC000014,C00004,CMP012,2025-11-21,Engagement,Fee relief,Rewards,Push,A,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0.02,3,FALSE,Valid,Active,,Valid or active,Valid,Valid,Valid,FALSE,TRUE,FALSE,1,0
