customer_id,birth_year,gender,city,region,customer_since,account_tier,employment_status,estimated_monthly_income,number_of_products,has_current_account,has_savings_account,has_credit_card,has_personal_loan,has_investment_product,preferred_channel,marketing_consent,estimated_customer_value,customer_status,churn_date,churn_reason_recorded,product_count_issue,customer_value_segment
C00001,1981,Female,Jeddah,Western,2022-12-01,Standard,Retired,9828.44,3,TRUE,FALSE,TRUE,FALSE,TRUE,Email,TRUE,4714.4,Active,,,,Lower Value
C00002,1990,Female,Jeddah,Western,2023-03-01,Plus,Government,18672.06,2,TRUE,FALSE,TRUE,FALSE,FALSE,SMS,TRUE,6691.78,Churned,2025-11-16,Fees,,High Value
C00003,1996,Male,Makkah,Western,2019-05-01,Standard,Retired,9600.36,3,TRUE,FALSE,TRUE,TRUE,FALSE,Push,TRUE,5759.02,Churned,2025-11-04,Unknown,,Lower Value
C00004,1981,Male,Riyadh,Central,2023-09-01,Plus,Employed,8935.6,3,TRUE,TRUE,TRUE,FALSE,FALSE,Email,FALSE,6520.53,Active,,,,High Value
C00005,1980,Male,Dammam,Eastern,2018-05-01,Plus,Government,9241.91,3,TRUE,FALSE,TRUE,TRUE,FALSE,SMS,TRUE,4629.44,Active,,,,Lower Value
C00006,1994,Male,Riyadh,Central,2019-08-01,Plus,Unemployed,8750.27,4,TRUE,TRUE,TRUE,TRUE,FALSE,SMS,FALSE,4911.57,Active,,,,Lower Value
C00007,1989,Male,Madinah,Western,2021-11-01,Standard,Employed,10429.39,2,TRUE,FALSE,TRUE,FALSE,FALSE,SMS,TRUE,5481.51,Churned,2025-11-09,Fees,,Lower Value
C00008,1970,Male,Riyadh,Central,2021-05-01,Plus,Retired,,2,TRUE,FALSE,FALSE,FALSE,TRUE,Call,TRUE,5193.61,Churned,2025-11-02,Service issue,,Lower Value
C00009,1984,Female,Jeddah,Western,2016-06-01,Plus,Employed,25817.43,2,TRUE,FALSE,TRUE,FALSE,FALSE,SMS,TRUE,6466.82,Active,,,,High Value
C00010,1987,Male,Riyadh,Central,2016-08-01,Standard,Employed,10138.02,2,TRUE,FALSE,TRUE,FALSE,FALSE,Push,TRUE,5417.22,Churned,2025-10-06,Moved to competitor,,Lower Value
C00011,2003,Female,Abha,Southern,2021-01-01,Plus,Government,19814.14,3,TRUE,TRUE,TRUE,FALSE,FALSE,SMS,TRUE,5624.29,Active,,,,Lower Value
