customer_id,activity_month,month_end_balance,incoming_amount,outgoing_amount,transaction_count,card_transaction_count,digital_login_count,mobile_app_sessions,branch_visit_count,call_center_contacts,complaints_opened,complaints_resolved,average_resolution_days,failed_transaction_count,inactive_days,service_rating,salary_deposit_flag,product_usage_score,customer_status_lookup,churn_date_lookup,activity_timing_check,card_tx_check,post_churn_flag,customer_value_segment_lookup,customer_status_lookup,salary_deposit_numeric
C00001,2025-01-01,5805.83,10503.49,13726.7,36,26,19,7,2,2,1,1,1.6,0,0,4.9,TRUE,65.9,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00001,2025-02-01,5042.22,9815.1,10744.52,36,16,21,22,0,2,0,0,,0,5,4.4,FALSE,63.2,Active,,Valid or active,Valid,FALSE,Lower Value,Active,0
C00001,2025-03-01,6004.89,14071.45,13585.61,50,32,25,14,1,0,0,0,,2,0,4.2,TRUE,83.1,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00001,2025-04-01,5982.5,13429.19,13533.29,31,20,19,12,0,1,2,1,2,3,4,3.8,TRUE,60,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00001,2025-05-01,7935.35,14590.47,18339.83,21,7,24,20,1,0,0,1,7.7,0,6,4.3,TRUE,52.4,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00001,2025-06-01,8272.54,9421.32,12096.06,37,25,23,26,1,1,0,0,,0,0,4.3,TRUE,69.8,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00001,2025-07-01,6567.37,10341.26,9623.41,38,12,28,25,0,0,0,0,,0,4,,FALSE,69.2,Active,,Valid or active,Valid,FALSE,Lower Value,Active,0
C00001,2025-08-01,6563.96,8775.23,15748,47,26,28,29,0,0,0,0,,0,2,4.4,TRUE,81.3,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00001,2025-09-01,7453.28,14592.95,15322.74,32,5,21,20,1,1,0,0,,1,0,4.3,TRUE,55.7,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00001,2025-10-01,9201.58,9053.78,9832.12,31,17,26,12,0,1,0,0,,1,0,4.3,TRUE,65.2,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00001,2025-11-01,5520.04,8664.83,12815.04,48,24,37,28,0,0,0,0,,0,0,3.8,TRUE,82.9,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00001,2025-12-01,7984.97,9768.45,8998.96,53,28,40,34,1,0,0,0,,0,3,3.7,FALSE,87.9,Active,,Valid or active,Valid,FALSE,Lower Value,Active,0
C00002,2025-01-01,65333.94,20151.97,28251.44,46,24,26,17,1,0,0,0,,0,10,3.9,FALSE,73.4,Churned,11/16/2025,Valid or active,Valid,FALSE,High Value,Churned,0
C00002,2025-02-01,58542.75,18316.69,22002.82,47,28,28,19,0,0,0,0,,3,1,4.6,TRUE,77.7,Churned,11/16/2025,Valid or active,Valid,FALSE,High Value,Churned,1
C00002,2025-03-01,49489.25,20261.89,21960.66,32,15,21,25,1,0,0,0,,0,2,4,TRUE,55.7,Churned,11/16/2025,Valid or active,Valid,FALSE,High Value,Churned,1
C00002,2025-04-01,56157.94,19784.57,21966.02,35,23,20,11,1,0,0,0,,0,0,4,TRUE,60.3,Churned,11/16/2025,Valid or active,Valid,FALSE,High Value,Churned,1
C00002,2025-05-01,44506.3,23840.12,27563.15,33,20,22,15,1,1,1,0,,0,9,3.3,TRUE,59.6,Churned,11/16/2025,Valid or active,Valid,FALSE,High Value,Churned,1
C00002,2025-06-01,46520.55,21304.46,18003.92,41,22,26,19,0,0,0,1,7.9,0,6,4.4,TRUE,69.3,Churned,11/16/2025,Valid or active,Valid,FALSE,High Value,Churned,1
C00002,2025-07-01,43942.24,24227.77,19079.68,34,25,18,10,0,0,0,0,,0,0,3.5,TRUE,58.8,Churned,11/16/2025,Valid or active,Valid,FALSE,High Value,Churned,1
C00002,2025-08-01,39830.65,26610.88,21087.03,27,21,19,21,2,0,1,1,12.2,0,4,3,TRUE,53.4,Churned,11/16/2025,Valid or active,Valid,FALSE,High Value,Churned,1
C00002,2025-09-01,22990.83,16639.6,16667.37,22,19,19,12,0,2,2,1,6,0,5,3.2,FALSE,49.4,Churned,11/16/2025,Valid or active,Valid,FALSE,High Value,Churned,0
C00002,2025-10-01,23248.39,20745.48,15156.32,17,9,13,16,0,1,3,3,4.9,0,8,2.8,FALSE,36,Churned,11/16/2025,Valid or active,Valid,FALSE,High Value,Churned,0
C00002,2025-11-01,19508.68,20446.36,15589.75,20,8,13,7,1,3,1,1,3.9,0,14,3.3,TRUE,37.5,Churned,11/16/2025,Valid or active,Valid,FALSE,High Value,Churned,1
C00002,2025-12-01,14027.88,16907.27,18291.79,18,13,13,10,0,0,2,3,0.4,0,8,3.5,TRUE,38.5,Churned,11/16/2025,Post-churn activity,Valid,TRUE,High Value,Churned,1
C00003,2025-01-01,23289.08,13207.35,13479.77,26,6,23,24,3,1,0,0,,0,1,4.7,TRUE,54.2,Churned,11/4/2025,Valid or active,Valid,FALSE,Lower Value,Churned,1
C00003,2025-02-01,22509.03,9725.92,14058.69,33,15,15,13,0,0,0,0,,0,1,4.4,TRUE,55.3,Churned,11/4/2025,Valid or active,Valid,FALSE,Lower Value,Churned,1
C00003,2025-03-01,18394.4,10046.35,8978.03,21,9,24,27,1,0,0,0,,0,0,4,FALSE,53.3,Churned,11/4/2025,Valid or active,Valid,FALSE,Lower Value,Churned,0
C00003,2025-04-01,18129.9,12316.59,9654.72,18,12,20,37,1,0,1,0,,0,10,4,TRUE,49.1,Churned,11/4/2025,Valid or active,Valid,FALSE,Lower Value,Churned,1
C00003,2025-05-01,18960.19,7003.68,10728.3,28,18,21,17,0,0,0,1,5.3,2,0,3.4,FALSE,59.1,Churned,11/4/2025,Valid or active,Valid,FALSE,Lower Value,Churned,0
